City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,fortuna,40.5982,-124.1573,13.29,92,75,3.6,US,1712772250
83,am timan,11.0297,20.2827,35.88,10,33,1.33,TD,1712772250
84,pemangkat,1.1667,108.9667,25.78,90,100,3.34,ID,1712772250
85,taulaga,-11.0553,-171.0883,29.66,77,22,4.67,AS,1712772251
86,acarau,-2.8856,-40.12,29.14,75,100,2.9,BR,1712772024
87,borborema,-21.6197,-49.0736,30.19,53,42,2.52,BR,1712772251
88,hithadhoo,-0.6,73.0833,29.8,70,100,3.59,MV,1712772251
89,college,64.8569,-147.8028,0.11,66,100,0.54,US,1712772226
90,del rio,29.3627,-100.8968,23.96,26,0,13.38,US,1712772062
91,puerto san jose,13.9256,-90.8244,31.75,57,63,6.37,GT,1712772251
92,plasencia,40.0312,-6.0885,17.61,74,71,1.25,ES,1712772251
93,punta arenas,-53.15,-70.9167,9.06,61,75,12.86,CL,1712771967
94,edinburgh of the seven seas,-37.0676,-12.3116,18.2,82,44,4.24,SH,1712772251
95,midvagur,62.0511,-7.1939,6.46,87,100,10.8,FO,1712772251
96,arraial do cabo,-22.9661,-42.0278,28.98,78,20,7.72,BR,1712772090
97,niafunke,15.9322,-3.9906,39.78,10,57,2.8,ML,1712772252
98,anadyr,64.75,177.4833,-10.72,92,75,6.0,RU,1712772075
99,ordubad,38.9059,46.0234,12.3,88,100,2.69,AZ,1712772252
100,port elizabeth,-33.918,25.5701,15.61,92,100,4.12,ZA,1712772016
101,yakymivka,46.6897,35.1536,15.46,43,6,0.76,UA,1712772252
102,eyl,7.9803,49.8164,27.78,70,78,6.25,SO,1712772024
103,forster,-32.1667,152.5167,15.77,77,87,6.23,AU,1712772252
104,saint-francois,46.4154,3.9054,11.9,55,0,3.09,FR,1712771964
105,yellowknife,62.456,-114.3525,0.79,87,100,3.6,CA,1712772087
106,sogel,52.85,7.5167,12.82,44,78,4.12,DE,1712772252
107,savanna-la-mar,18.219,-78.1332,29.97,59,1,5.85,JM,1712772252
108,thunder bay,48.4001,-89.3168,11.99,66,75,3.6,CA,1712771993
109,kingston,17.997,-76.7936,31.53,65,75,8.23,JM,1712772252
110,tupaciguara,-18.5922,-48.705,27.43,56,74,3.24,BR,1712772253
111,el calafate,-50.3408,-72.2768,7.96,62,20,2.27,AR,1712772166
112,vila velha,-20.3297,-40.2925,29.97,85,40,5.66,BR,1712772001
113,vilyuchinsk,52.9306,158.4028,2.15,74,94,17.2,RU,1712772253
114,aykhal,66.0,111.5,-24.86,90,67,9.5,RU,1712772253
115,flin flon,54.7682,-101.865,11.91,43,75,5.14,CA,1712772253
116,nadym,65.5333,72.5167,-27.8,100,34,1.83,RU,1712772253
117,talnakh,69.4865,88.3972,-30.95,99,73,1.96,RU,1712772253
118,kirkwall,58.9848,-2.9587,7.2,100,75,9.77,GB,1712772253
119,la passe,45.5549,-0.8967,16.13,81,56,3.49,FR,1712772253
120,khandud,36.9513,72.318,2.52,91,100,1.45,AF,1712772254
121,elliot lake,46.3834,-82.6331,12.6,53,83,3.95,CA,1712771954
122,istaravshan,39.9142,69.0033,12.61,60,2,0.68,TJ,1712772254
123,ixtapa,20.7,-105.2,32.03,32,1,3.79,MX,1712772017
124,la'ie,21.6477,-157.9253,25.98,70,18,1.79,US,1712772254
125,ulladulla,-35.35,150.4667,11.94,86,3,2.54,AU,1712772125
126,susuman,62.7833,148.1667,-21.68,100,71,0.45,RU,1712772254
127,salinopolis,-0.6136,-47.3561,27.9,81,100,2.16,BR,1712772254
128,mormugao,15.4,73.8,28.59,70,3,3.09,IN,1712772254
129,ihosy,-22.4,46.1167,22.85,69,100,3.63,MG,1712772254
130,corner brook,48.9667,-57.9484,1.09,57,64,5.95,CA,1712772255
131,kununurra,-15.7667,128.7333,16.99,82,22,0.0,AU,1712772255
132,kushiro,42.975,144.3747,1.53,64,0,0.51,JP,1712772206
133,udachny,66.4167,112.4,-21.97,87,75,10.37,RU,1712772118
134,codrington,-38.2667,141.9667,14.59,72,100,4.87,AU,1712772255
135,queenstown,-31.8976,26.8753,11.99,79,56,2.61,ZA,1712772063
136,puerto armuelles,8.2833,-82.8667,32.99,71,100,1.34,PA,1712772018
137,tolanaro,-25.0319,46.9987,25.04,88,0,2.06,MG,1712772255
138,howard springs,-12.497,131.047,23.95,76,87,2.66,AU,1712772255
139,rondonopolis,-16.4708,-54.6356,29.93,70,88,1.79,BR,1712772114
140,gaspe,48.8334,-64.4819,3.12,56,20,6.17,CA,1712772255
141,atafu village,-8.5421,-172.5159,29.83,76,64,4.75,TK,1712772255
142,hermanus,-34.4187,19.2345,16.0,74,55,8.13,ZA,1712772256
143,mejit,10.2753,170.8646,26.88,81,96,9.91,MH,1712772256
144,hilo,19.7297,-155.09,24.04,97,72,4.15,US,1712771992
145,okhotsk,59.3833,143.3,-7.69,76,2,4.99,RU,1712772256
146,poronaysk,49.2167,143.1167,2.35,68,49,4.15,RU,1712772256
147,remire-montjoly,4.9167,-52.2667,29.02,84,100,5.66,GF,1712772256
148,wailua homesteads,22.0669,-159.378,23.44,83,40,4.12,US,1712772256
149,vuosaari,60.2083,25.1436,7.81,81,75,7.72,FI,1712772256
150,cabo san lucas,22.8909,-109.9124,27.01,53,1,4.02,MX,1712772198
151,naze,28.3667,129.4833,18.51,69,5,4.86,JP,1712772256
152,kourou,5.1552,-52.6478,29.03,81,97,4.48,GF,1712772257
153,caleta de carquin,-11.0925,-77.6267,24.22,76,58,3.18,PE,1712772257
154,badger,64.8,-147.5333,0.07,65,100,0.95,US,1712772257
155,namibe,-15.1961,12.1522,22.37,72,41,4.1,AO,1712772257
156,na wa,17.4897,104.1006,30.25,55,61,1.99,TH,1712772257
157,tadine,-21.55,167.8833,25.2,92,82,2.87,NC,1712772257
158,melfort,52.8667,-104.6177,9.07,40,41,6.17,CA,1712772257
159,puerto ayora,-0.7393,-90.3518,28.98,90,18,3.58,EC,1712772257
160,miracema do tocantins,-9.5618,-48.3967,31.15,62,82,0.52,BR,1712772257
161,lang son,21.8333,106.7333,20.59,98,33,1.39,VN,1712772257
162,vila franca do campo,37.7167,-25.4333,18.27,99,100,4.82,PT,1712772258
163,avon park,27.5959,-81.5062,30.02,37,76,4.59,US,1712772060
164,hadibu,12.65,54.0333,27.5,74,5,3.03,YE,1712772258
165,qinhuangdao,39.9317,119.5883,9.52,64,55,2.26,CN,1712772016
166,port augusta,-32.5,137.7667,12.59,71,0,2.61,AU,1712772094
167,coahuayana de hidalgo,18.7,-103.6583,30.48,46,38,3.6,MX,1712772258
168,mawlaik,23.6333,94.4167,21.77,28,0,0.79,MM,1712772258
169,hirna,9.2167,41.1,19.8,68,61,1.0,ET,1712772258
170,callao,-12.0667,-77.15,26.16,65,0,3.6,PE,1712772258
171,grand falls-windsor,48.9332,-55.6649,2.5,48,99,0.89,CA,1712772258
172,vilyuysk,63.7553,121.6247,0.56,94,100,5.36,RU,1712772258
173,howrah,22.5892,88.3103,30.61,78,40,0.0,IN,1712772258
174,ascension,30.2169,-90.9001,19.0,94,100,1.54,US,1712772106
175,enewetak,11.3474,162.3373,27.16,81,100,10.03,MH,1712772259
176,valparaiso,-33.0393,-71.6273,26.19,74,40,4.63,CL,1712772071
177,ratnagiri,16.9833,73.3,26.17,80,25,3.76,IN,1712772259
178,wellington,-41.2866,174.7756,18.92,72,100,8.75,NZ,1712772236
179,termas de rio hondo,-27.4998,-64.8604,18.43,90,100,3.13,AR,1712772001
180,aljezur,37.3191,-8.8033,20.17,57,86,2.05,PT,1712772259
181,saldanha,-33.0117,17.9442,17.03,76,0,11.01,ZA,1712772259
182,catanauan,13.5919,122.3231,24.35,86,38,2.21,PH,1712772259
183,portland,45.5234,-122.6762,14.76,69,64,2.24,US,1712771777
184,puerto aysen,-45.4,-72.7,13.61,65,10,1.79,CL,1712772090
185,latakia,35.5148,35.7768,17.1,76,48,3.88,SY,1712772260
186,magadan,59.5667,150.8,-9.15,75,0,3.63,RU,1712772198
187,hami,42.8,93.45,14.92,40,67,3.77,CN,1712772260
188,miastko,54.0028,16.9826,8.4,71,100,4.27,PL,1712772260
189,akonolinga,3.7667,12.25,26.09,69,87,0.81,CM,1712772260
190,lautoka,-17.6167,177.4667,23.92,94,20,2.06,FJ,1712772260
191,balkanabat,39.5108,54.3671,23.05,24,100,7.03,TM,1712772260
192,port alfred,-33.5906,26.891,15.1,95,100,1.79,ZA,1712772260
193,afaahiti,-17.75,-149.2833,27.93,83,40,6.72,PF,1712772260
194,westport,41.1415,-73.3579,19.79,63,100,2.24,US,1712772260
195,sinjar,36.3209,41.8754,17.49,56,84,3.27,IQ,1712772261
196,kodiak,57.79,-152.4072,-2.27,80,75,6.17,US,1712772028
197,zhangatas,43.5667,69.75,12.57,52,8,2.39,KZ,1712772261
198,argo,37.6333,22.7333,16.68,51,28,0.57,GR,1712772261
199,kirensk,57.7853,108.1119,2.2,96,100,2.24,RU,1712772261
200,nemuro,43.3236,145.575,1.87,79,0,3.49,JP,1712772261
201,sao jose da coroa grande,-8.8978,-35.1478,29.53,66,71,3.69,BR,1712772261
202,sarkand,45.41,79.9186,8.86,84,100,1.17,KZ,1712772261
203,fuglafjordur,62.244,-6.814,6.26,86,100,10.15,FO,1712772261
204,forres,57.6113,-3.6108,11.94,78,100,5.14,GB,1712772198
205,peniche,39.3558,-9.3811,19.2,75,70,5.51,PT,1712772261
206,brisas de zicatela,15.8369,-97.0419,29.56,58,95,4.17,MX,1712772262
207,ilha de mocambique,-15.0342,40.7358,28.51,79,90,5.17,MZ,1712772262
